INFO 2024-07-02 18:56:08,008 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-02 18:56:08,402 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/contrib/staticfiles/checks.py first seen with mtime 1719930739.9863763
DEBUG 2024-07-02 18:56:08,402 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/utils/hashable.py first seen with mtime 1719930740.3044891
DEBUG 2024-07-02 18:56:08,402 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1719930740.1359527
DEBUG 2024-07-02 18:56:08,403 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/drf_spectacular/contrib/django_oauth_toolkit.py first seen with mtime 1719930743.1255405
DEBUG 2024-07-02 18:56:08,403 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/keyword.py first seen with mtime 1620062241.0
DEBUG 2024-07-02 18:56:08,404 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/db/backends/base/creation.py first seen with mtime 1719930740.0792015
DEBUG 2024-07-02 18:56:08,404 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/db/migrations/executor.py first seen with mtime 1719930740.122518
DEBUG 2024-07-02 18:56:08,404 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/django/template/engine.py first seen with mtime 1719930740.2597284
DEBUG 2024-07-02 18:56:08,404 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/lib-dynload/_opcode.cpython-39-darwin.so first seen with mtime 1620062637.0
DEBUG 2024-07-02 18:56:08,404 autoreload File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/wsgiref/util.py first seen with mtime 1620062243.0
DEBUG 2024-07-02 18:56:08,404 autoreload File /Users/imran/Project/venv/lib/python3.9/site-packages/rest_framework_simplejwt/utils.py first seen with mtime 1719930743.2380843
